Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 12/12/2022 7:00:06 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
220429,AFVS 40H,Intro to Still Photography,002,"Art, Film, and Visual Studies","Helmar,Patrice",9,0,0,1,0,0,0,10
114351,AFVS 50A,Introduction to Non Fiction Fi,001,"Art, Film, and Visual Studies","Moss,Robb",10,0,0,0,0,0,0,10
218678,AFVS 51S,Intro to Documentary Product.,1,"Art, Film, and Visual Studies","Owusu,Akosua Adoma",10,0,0,0,0,0,0,10
108859,AFVS 52,Intro to Nonfiction Videomaki,001,"Art, Film, and Visual Studies","Guzzetti,Alfred",7,2,0,1,0,0,0,10
220420,AFVS 58T,A Video Toolbox,001,"Art, Film, and Visual Studies","Guzzetti,Alfred",8,0,0,0,0,0,0,8
220428,AFVS 59,Experimental Animation,001,"Art, Film, and Visual Studies","Lee,Young Joo",4,0,0,4,0,0,0,8
219561,AFVS 76,The Language of Modern Art,001,"Art, Film, and Visual Studies","Joselit,David",32,1,0,3,0,0,0,36
117193,AFVS 91R,Special Projects,001,"Art, Film, and Visual Studies","Saunders,Matt",6,0,0,0,0,0,0,6
110715,AFVS 98R,Tutorial - Junior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",1,0,0,0,0,0,0,1
117196,AFVS 99A,Tutorial - Senior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",5,0,0,0,0,0,0,5
159861,AFVS 99B,Tutorial - Senior Year,001,"Art, Film, and Visual Studies","Saunders,Matt",1,0,0,0,0,0,0,1
114320,AKKAD AA,Introductory Akkadian I,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,2,0,2,0,0,0,5
126300,AMHARIC AA,Elementary Amharic,001,African & African Amer Studies,"Mugane,John M",2,0,0,4,0,0,0,6
205853,AMHARIC BA,Intermediate Amharic,001,African & African Amer Studies,"Mugane,John M",5,0,0,3,0,0,0,8
205186,AMSTDIES 314A,Colloquium on Pedagogy,001,American Studies,"Bernstein,Robin",0,4,0,0,0,0,0,4
214390,AMSTDIES 397,Graduate Research,001,American Studies,"McKanan,Dan",0,0,0,0,0,0,0,0
110946,AMSTDIES 398,Reading and Research,015,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,021,American Studies,"McGirr,Lisa M.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,022,American Studies,"McKanan,Dan",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,028,American Studies,"Roberts,Jennifer L.",0,1,0,0,0,0,0,1
110946,AMSTDIES 398,Reading and Research,039,American Studies,"Deloria,Philip",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,002,American Studies,"Bernstein,Robin",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,003,American Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,009,American Studies,"Johnson,Walter",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,013,American Studies,"Sommer,Doris",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,018,American Studies,"Deloria,Philip",0,4,0,0,0,0,0,4
124363,AMSTDIES 399,Doctoral Dissertatn Direction,020,American Studies,"Kim,Ju Yon",0,2,0,0,0,0,0,2
124363,AMSTDIES 399,Doctoral Dissertatn Direction,021,American Studies,"Mack,Kenneth W.",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,022,American Studies,"Reid-Pharr,Robert Fitzgerald",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,023,American Studies,"McKanan,Dan",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,024,American Studies,"Soto Laveaga,Gabriela",0,1,0,0,0,0,0,1
124363,AMSTDIES 399,Doctoral Dissertatn Direction,025,American Studies,"Joselit,David",0,1,0,0,0,0,0,1
218545,ANE 197,Bible and Empire,001,Near Eastern Languages & Civ,"Rhyder,Julia Victoria",4,2,0,0,0,0,0,6
220068,ANE 202,Bible & Mesopotamian Tradition,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,6,0,0,0,0,0,7
144784,ANE 222,Hebrew Bible Studies,001,Near Eastern Languages & Civ,"Rhyder,Julia Victoria",2,5,0,0,0,0,0,7
220069,ANE 302,Bible & Mesopotamian Tradition,001,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,0,0,0,0,0,0,0
220175,ANTHRO 1224,Hacker Culture and Politics,001,Anthropology,"Coleman,E. Gabriella",7,2,0,1,0,0,0,10
127050,ANTHRO 1250,The Pyramids of Giza,001,Anthropology,"Manuelian,Peter Der",14,1,0,2,0,0,0,17
212875,ANTHRO 1255,Human Diet,001,Anthropology,"Warinner,Christina Gertrude",39,0,0,0,0,0,0,39
204965,ANTHRO 1450,"Water, Infrastructure, and Mea",001,Anthropology,"Caton,Steven C.",8,2,0,3,0,0,0,13
119379,ANTHRO 1610,Ethnographic Research Methods,001,Anthropology,"Herranen-Tabibi,Annikki",22,0,0,0,0,0,0,22
218758,ANTHRO 1707,"Ethnic Studies, Anthropology",001,Anthropology,"Garza,Joyhanna",9,1,0,1,0,0,0,11
218192,ANTHRO 1716,Neoliberalism,001,Anthropology,"Keshavjee,Salmaan",6,1,1,3,1,0,1,12
218707,ANTHRO 1781,What Is Latin America?,001,Anthropology,"Fierman,Julia",6,0,0,0,0,0,0,6
220767,ANTHRO 1822,"Environment, Health & Justice",001,Anthropology,"Herranen-Tabibi,Annikki",10,1,0,1,0,0,0,12
220763,ANTHRO 1827,Intro to Social Medicine,001,Anthropology,"Keshavjee,Salmaan",13,2,0,0,0,0,0,15
216514,ANTHRO 1836CR,Sensory Ethnography 3,001,Anthropology,"Castaing-Taylor,Lucien",1,1,0,1,0,0,0,3
216515,ANTHRO 1836DR,Sensory Ethnography 4,001,Anthropology,"Castaing-Taylor,Lucien",0,1,0,0,0,0,0,1
216164,ANTHRO 1906,Care in Critical Times,001,Anthropology,"Wright,Andrea",11,0,0,1,0,0,0,12
220764,ANTHRO 1954,California: Histories/Future,001,Anthropology,"Jabloner,Anna",12,0,0,0,0,0,0,12
116063,ANTHRO 2080R,Zooarchaeology: Seminar,001,Anthropology,"Price,Max Daniel",3,3,0,1,0,0,0,7
211101,ANTHRO 2245,Technology: Arch and Anthro,001,Anthropology,"Flad,Rowan K.",0,5,0,0,0,0,0,5
125614,ANTHRO 2250A,Proseminar in Archaeology,001,Anthropology,"Hlubik,Sarah",0,5,0,1,0,0,0,6
218183,ANTHRO 2656,Intro Feminist Science Studies,001,Anthropology,"Jabloner,Anna",7,5,0,3,0,0,0,15
119983,ANTHRO 2704,The Problem of Language,001,Anthropology,"Harkness,Nicholas H.",0,2,0,1,0,0,0,3
119998,ANTHRO 2785,Theories of Subjectivity,001,Anthropology,"Good,Byron",0,4,0,1,0,0,0,5
160345,ANTHRO 2800,Social Theory In/Out of Africa,001,Anthropology,"Comaroff,Jean",1,0,0,0,0,0,0,1
218352,ANTHRO 2900,Genealogies of Social Anthro,001,Anthropology,"Caton,Steven C.",0,5,0,0,0,0,0,5
220174,ANTHRO 2915,Prehistory of Social Anthropol,001,Anthropology,"Harkness,Nicholas H.",0,4,0,0,0,0,0,4
113022,ANTHRO 3000,Reading Course,012,Anthropology,"Kleinman,Arthur",0,1,0,0,0,0,0,1
113022,ANTHRO 3000,Reading Course,018,Anthropology,"Subramanian,Ajantha",0,1,0,0,0,0,0,1
116603,ANTHRO 3001,Reading for Social Anthro,005,Anthropology,"Comaroff,Jean",0,2,0,0,0,0,0,2
116603,ANTHRO 3001,Reading for Social Anthro,012,Anthropology,"Subramanian,Ajantha",0,1,0,0,0,0,0,1
218560,ANTHRO 3002,Reading for Archaeology,005,Anthropology,"Liebmann,Matt",0,1,0,0,0,0,0,1
119079,ANTHRO 3400,Reading and Research,001,Anthropology,,0,13,0,0,0,0,0,13
210892,ANTHRO 3410,Teaching Fellowship,001,Anthropology,,0,17,0,0,0,0,0,17
111058,ANTHRO 3500,Direction of Doctoral,005,Anthropology,"Caton,Steven C.",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,006,Anthropology,"Comaroff,Jean",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,008,Anthropology,"Flad,Rowan K.",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,011,Anthropology,"Harkness,Nicholas H.",0,2,0,0,0,0,0,2
111058,ANTHRO 3500,Direction of Doctoral,012,Anthropology,"Kleinman,Arthur",0,3,0,0,0,0,0,3
111058,ANTHRO 3500,Direction of Doctoral,015,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,018,Anthropology,"Subramanian,Ajantha",0,5,0,0,0,0,0,5
111058,ANTHRO 3500,Direction of Doctoral,020,Anthropology,"Reddy,Malavika",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,022,Anthropology,"Warinner,Christina Gertrude",0,1,0,0,0,0,0,1
116522,ANTHRO 3626,Research Design/Proposal Writi,001,Anthropology,"Coleman,E. Gabriella",0,5,0,0,0,0,0,5
218206,ANTHRO 3704,The Problem of Language,001,Anthropology,"Harkness,Nicholas H.",0,7,0,0,0,0,0,7
123453,ANTHRO 91ZR,Supervised Reading & Research,001,Anthropology,"Liebmann,Matt",6,0,0,0,0,0,0,6
123454,ANTHRO 92XR,Arch. Museum Res. Methods,001,Anthropology,"Ur,Jason",1,0,0,0,0,0,0,1
205494,ANTHRO 98A,Junior Tutorial in Anthropolog,001,Anthropology,"Liebmann,Matt",18,0,0,0,0,0,0,18
205184,ANTHRO 99A,Thesis Tutorial in Anthropolog,001,Anthropology,"Liebmann,Matt",19,0,0,0,0,0,0,19
128105,APCOMP 207,Systems Development,001,Applied Computation,"Wermelinger,Fabian",19,105,1,15,0,0,2,142
109898,APCOMP 209A,Data Science 1,001,Applied Computation,"Protopapas,Pavlos",19,88,0,5,0,0,1,113
156202,APCOMP 297R,CSE Capstone Project,001,Applied Computation,"Pan,Weiwei",0,65,0,1,0,0,0,66
109339,APCOMP 298R,Interdisciplinary Sem Apcomp,001,Applied Computation,"Pan,Weiwei",1,11,0,3,0,0,0,15
109613,APCOMP 299R,Special Topics Applied Comp,001,Applied Computation,"Weinstock,Daniel S",0,24,0,0,0,0,0,24
156535,APCOMP 302,Special Topics in CSE,001,Applied Computation,"Weinstock,Daniel S",0,56,0,0,0,0,0,56
210893,APCOMP 399-TIME,Academic Related Work SEAS,001,Applied Computation,"Weinstock,Daniel S",0,52,0,0,0,0,0,52
213407,APMTH 10,Computing for Science Engineer,001,Applied Mathematics,"Kaxiras,Efthimios",59,2,0,1,0,0,0,62
122094,APMTH 104,Complex & Fourier Analysis,001,Applied Mathematics,"Mahadevan,L",61,1,0,0,0,0,2,64
120198,APMTH 111,Intro to Scientific Computing,001,Applied Mathematics,"Iams,Sarah M",25,6,0,0,0,0,0,31
123662,APMTH 121,Optimization: Models and Metho,001,Applied Mathematics,"Levine,Margo",72,1,0,0,5,0,1,79
110684,APMTH 205,Advanced Scientific Computing,001,Applied Mathematics,"Karnakov,Petr",27,49,0,0,0,0,0,76
127561,APMTH 207,Advanced Scientific Computing,001,Applied Mathematics,"Koumoutsakos,Petros",1,28,1,5,0,0,0,35
212912,APMTH 226,Theory of Neural Computation,001,Applied Mathematics,"Pehlevan,Cengiz",11,15,0,0,0,0,0,26
211334,APMTH 22A,Solving and Optimizing,001,Applied Mathematics,"Gortler,Steven J.",48,0,0,1,0,0,0,49
160447,APMTH 254,Math of High-Dimensional Info,001,Applied Mathematics,"Lu,Yue",3,19,0,0,0,0,0,22
116840,APMTH 299R,Special Topics in Applied Math,001,Applied Mathematics,"Chen,Yiling",0,1,0,0,0,0,0,1
116187,APMTH 318,Special Topics in Physical Mat,001,Applied Mathematics,"Brenner,Michael P.",0,1,0,0,0,0,0,1
118975,APMTH 320,Topics in Macroscopic Physics,001,Applied Mathematics,"Mahadevan,L",0,3,0,0,0,0,0,3
212607,APMTH 326,Theoretical Neuroscience,001,Applied Mathematics,"Pehlevan,Cengiz",0,7,0,0,0,0,0,7
219698,APMTH 328,Advanced Computational Science,001,Applied Mathematics,"Koumoutsakos,Petros",0,1,0,0,0,0,0,1
121692,APMTH 91R,Supervised Reading and Researc,001,Applied Mathematics,"Levine,Margo",15,0,0,0,0,0,0,15
