Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 3/23/2021 6:30:04 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
108879,AFRAMER 119X,"Chocolate, Culture, and Politi",LEC,African & African Amer Studies,"Martin,Carla Denny",87,0,0,1,0,0,0,88
111438,AFRAMER 123Z,American Democracy,LEC,African & African Amer Studies,"West,Cornel",28,7,2,3,0,0,1,41
216052,AFRAMER 129XB,"Philosophy, Social Thought, an",LEC,African & African Amer Studies,"Terry,Brandon Michael",0,4,0,0,0,0,0,4
214576,AFRAMER 130Y,"Mobility, Power and Politics",1,African & African Amer Studies,"Agbiboa,Daniel",4,0,1,1,0,0,0,6
207805,AFRAMER 131Y,Black Womens Voices in the #Me,LEC,African & African Amer Studies,"Chavers,Linda",16,0,0,0,0,0,0,16
126710,AFRAMER 142,I Am Hiphop,LEC,African & African Amer Studies,"Morgan,Marcyliena",7,0,0,2,0,0,0,9
216643,AFRAMER 152Y,20th Century African American,LEC,African & African Amer Studies,"Carpio,Glenda",6,0,0,0,0,0,0,6
125927,AFRAMER 160,"Christianity, Identity, and",LEC,African & African Amer Studies,"Olupona,Jacob",0,2,0,0,0,0,0,2
118130,AFRAMER 174,The African City,LEC,African & African Amer Studies,"Blier,Suzanne",5,2,0,2,0,0,0,9
108168,AFRAMER 186X,Childhood in African America,LEC,African & African Amer Studies,"Bernstein,Robin",33,4,0,0,0,0,0,37
127960,AFRAMER 191X,African Am Lives in the Law,LEC,African & African Amer Studies,"Higginbotham,Evelyn Brooks",8,4,0,0,0,0,0,12
122498,AFRAMER 192X,Religion and Society in Nigeri,LEC,African & African Amer Studies,"Olupona,Jacob",6,1,0,0,0,0,0,7
205834,AFRAMER 192Y,The Garden,LEC,African & African Amer Studies,"Kincaid,Jamaica",5,1,0,1,0,0,0,7
000196,AFRAMER 196Y,African Literature and the Poe,1,African & African Amer Studies,"Coulibaly,Bojana",5,1,0,2,0,0,0,8
110501,AFRAMER 199X,Social Revolutions in Latin,LEC,African & African Amer Studies,"de la Fuente,Alejandro",3,1,0,0,0,0,0,4
216012,AFRAMER 201,"Social Theory, In and Out of A",LEC,African & African Amer Studies,"Comaroff,Jean",0,17,0,1,0,0,0,18
108694,AFRAMER 209B,Africa Rising? New African Eco,001,African & African Amer Studies,"Comaroff,Jean",7,2,0,1,0,0,0,10
217615,AFRAMER 215,Queer/ing Ethnography: A Pract,LEC,African & African Amer Studies,"Meiu,George Paul",0,9,0,0,0,0,0,9
216013,AFRAMER 217X,Themes in the History of Afric,LEC,African & African Amer Studies,"Terry,Brandon Michael",13,4,0,2,0,0,0,19
115731,AFRAMER 310,Individual Reading Tutorial,01,African & African Amer Studies,"Shelby,Tommie",0,1,0,0,0,0,0,1
210981,AFRAMER 392,"Teaching, Writing, and Researc",001,African & African Amer Studies,"Shelby,Tommie",0,23,0,0,0,0,0,23
122706,AFRAMER 398,Reading and Research,001,African & African Amer Studies,"Comaroff,Jean",0,3,0,0,0,0,0,3
122706,AFRAMER 398,Reading and Research,002,African & African Amer Studies,"Shelby,Tommie",0,1,0,0,0,0,0,1
