Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 10/8/2021 6:30:04 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
218790,AFRAMER 109X,A Different Shade of Brown: So,SEM,African & African Amer Studies,"Bald,Vivek",5,0,0,0,0,0,0,5
123591,AFRAMER 11,Introduction to African Studie,001,African & African Amer Studies,"Olupona,Jacob",10,2,0,0,0,0,0,12
218818,AFRAMER 115X,African Literature Now: Themes,LEC,African & African Amer Studies,"Ogene,Timothy",1,0,0,0,0,0,0,1
218819,AFRAMER 115Y,Introduction to African Popula,LEC,African & African Amer Studies,"Ogene,Timothy",0,1,1,1,0,0,0,3
156935,AFRAMER 116,Autobiography and Memoir,LEC,African & African Amer Studies,"Kincaid,Jamaica",15,1,0,4,0,0,0,20
110293,AFRAMER 134X,Black Love & Politics of Resp,LEC,African & African Amer Studies,"Kincaid,Jamaica",17,1,0,6,0,0,0,24
218543,AFRAMER 183Y,The Long Civil Rights Movement,LEC,African & African Amer Studies,"Pope,Andrew J.",14,0,0,0,0,0,0,14
123435,AFRAMER 197,"Poverty, Race, and Health",01,African & African Amer Studies,"Williams,David",31,0,0,0,0,0,0,31
218312,AFRAMER 202,Theory and Race in the America,LEC,African & African Amer Studies,"McCarthy,Jesse",5,21,0,4,0,0,0,30
108680,AFRAMER 209A,Africa Rising? New African Eco,SEM,African & African Amer Studies,"Comaroff,Jean",2,0,1,1,0,0,0,4
119827,AFRAMER 391,Directed Writing,010,African & African Amer Studies,"Comaroff,Jean",0,1,0,1,0,0,0,2
210981,AFRAMER 392,"Teaching, Writing, and Researc",001,African & African Amer Studies,"de la Fuente,Alejandro",0,18,0,0,0,0,0,18
118023,AFRAMER 98,Junior Tutorial - African Am,001,African & African Amer Studies,"Brown,Vincent",0,0,0,0,0,0,0,0
118023,AFRAMER 98,Junior Tutorial - African Am,002,African & African Amer Studies,"Brown,Vincent",1,0,0,0,0,0,0,1
124132,AFRAMER 99A,Senior Thesis Workshop,001,African & African Amer Studies,"Brown,Vincent",4,0,0,0,0,0,0,4
109427,AFRIKAAN AA,Elementary Afrikaans,001,African & African Amer Studies,"Mugane,John M",10,0,0,0,0,0,0,10
122679,AFVS 107,Studies of Built N Amer Enviro,001,"Art, Film, and Visual Studies","Stilgoe,John R.",20,0,0,0,0,0,0,20
203312,AFVS 12,Drawing 1:,1,"Art, Film, and Visual Studies","Burin,Katarina",14,0,0,0,0,0,0,14
216297,AFVS 120,Thinking With Your Hand,001,"Art, Film, and Visual Studies","Belzer,Judith",12,0,0,1,0,0,0,13
216299,AFVS 133,"Sun & Shadow, Sculpture St",001,"Art, Film, and Visual Studies","Schultz,Nora",12,0,0,0,0,0,0,12
216782,AFVS 134S,"Performance, Tech, and Refusal",1,"Art, Film, and Visual Studies","--,chukwumaa",1,0,0,2,0,0,0,3
218300,AFVS 137P,Political Action Art,001,"Art, Film, and Visual Studies","Romero,Anthony",8,1,0,2,0,0,0,11
203314,AFVS 14,Making Things,1,"Art, Film, and Visual Studies","Burin,Katarina",12,0,0,2,0,0,0,14
205346,AFVS 141BR,Making Mischief: Studio Sem.,1,"Art, Film, and Visual Studies","Harper,Sharon C.",5,1,0,3,0,0,0,9
218298,AFVS 142W,The Real World (Photography),001,"Art, Film, and Visual Studies","Bowman,Dannielle",4,0,0,1,0,0,0,5
213475,AFVS 144M,Photography and Ecology,1,"Art, Film, and Visual Studies","Best,Makeda Djata",15,0,0,4,0,0,0,19
114116,AFVS 150A,Film Directing: Fiction Now,001,"Art, Film, and Visual Studies","Sotomayor Castillo,Dominga",9,0,0,0,0,0,0,9
113447,AFVS 151BR,Nonfiction Video Projects,001,"Art, Film, and Visual Studies","McElwee,Ross",4,0,0,0,0,0,0,4
205136,AFVS 152X,The Essay Film,1,"Art, Film, and Visual Studies","Guzzetti,Alfred",2,0,0,0,0,0,0,2
115390,AFVS 153AR,Experimental Animation,001,"Art, Film, and Visual Studies","Lee,Young Joo",3,0,0,4,0,0,0,7
218297,AFVS 154J,Filmmaking as Inquiry,001,"Art, Film, and Visual Studies","Mallozzi,Julie",5,0,0,4,0,0,0,9
121758,AFVS 15AR,Silkscreen,001,"Art, Film, and Visual Studies","Lemieux,Annette",12,0,0,0,0,0,0,12
217449,AFVS 161L,Enter The Mediaverse,1,"Art, Film, and Visual Studies","Brown,Lex",7,0,0,0,0,0,0,7
